name,month,day,tas_max
Henan,April,16,287.07388
Henan,August,16,298.1963
Henan,December,16,274.4378
Henan,February,15,275.62598
Henan,January,16,273.094
Henan,July,16,298.61368
Henan,June,16,296.6699
Henan,March,16,280.66428
Henan,May,16,293.6
Henan,November,16,280.80228
Henan,October,16,286.9808
Henan,September,16,295.41156
Hubei,April,16,287.30402
Hubei,August,16,299.29715
Hubei,December,16,275.2221
Hubei,February,15,276.86667
Hubei,January,16,274.5687
Hubei,July,16,298.3771
Hubei,June,16,297.65747
Hubei,March,16,282.65186
Hubei,May,16,292.5067
Hubei,November,16,282.2052
Hubei,October,16,287.4926
Hubei,September,16,293.97232
Shandong,April,16,288.02182
Shandong,August,16,297.9411
Shandong,December,16,273.87415
Shandong,February,15,274.42706
Shandong,January,16,270.64978
Shandong,July,16,299.69177
Shandong,June,16,296.61954
Shandong,March,16,280.8356
Shandong,May,16,295.2368
Shandong,November,16,280.26807
Shandong,October,16,287.21014
Shandong,September,16,296.00177
