,name,month,day,pr_max,tas_max
0,Louisiana,April,16,1.817115e-05,292.1922
1,Louisiana,April,16,1.817115e-05,303.7482
2,Louisiana,April,16,1.817115e-05,281.5077
3,Louisiana,April,16,1.817115e-05,286.38965
4,Louisiana,April,16,1.817115e-05,286.00815
5,Louisiana,April,16,1.817115e-05,301.1284
6,Louisiana,April,16,1.817115e-05,299.60495
7,Louisiana,April,16,1.817115e-05,288.19687
8,Louisiana,April,16,1.817115e-05,297.80838
9,Louisiana,April,16,1.817115e-05,285.49786
10,Louisiana,April,16,1.817115e-05,294.20676
11,Louisiana,April,16,1.817115e-05,299.3047
12,Louisiana,August,16,2.7247266e-05,292.1922
13,Louisiana,August,16,2.7247266e-05,303.7482
14,Louisiana,August,16,2.7247266e-05,281.5077
15,Louisiana,August,16,2.7247266e-05,286.38965
16,Louisiana,August,16,2.7247266e-05,286.00815
17,Louisiana,August,16,2.7247266e-05,301.1284
18,Louisiana,August,16,2.7247266e-05,299.60495
19,Louisiana,August,16,2.7247266e-05,288.19687
20,Louisiana,August,16,2.7247266e-05,297.80838
21,Louisiana,August,16,2.7247266e-05,285.49786
22,Louisiana,August,16,2.7247266e-05,294.20676
23,Louisiana,August,16,2.7247266e-05,299.3047
24,Louisiana,December,16,5.3069547e-05,292.1922
25,Louisiana,December,16,5.3069547e-05,303.7482
26,Louisiana,December,16,5.3069547e-05,281.5077
27,Louisiana,December,16,5.3069547e-05,286.38965
28,Louisiana,December,16,5.3069547e-05,286.00815
29,Louisiana,December,16,5.3069547e-05,301.1284
30,Louisiana,December,16,5.3069547e-05,299.60495
31,Louisiana,December,16,5.3069547e-05,288.19687
32,Louisiana,December,16,5.3069547e-05,297.80838
33,Louisiana,December,16,5.3069547e-05,285.49786
34,Louisiana,December,16,5.3069547e-05,294.20676
35,Louisiana,December,16,5.3069547e-05,299.3047
36,Louisiana,February,15,8.364973e-05,292.1922
37,Louisiana,February,15,8.364973e-05,303.7482
38,Louisiana,February,15,8.364973e-05,281.5077
39,Louisiana,February,15,8.364973e-05,286.38965
40,Louisiana,February,15,8.364973e-05,286.00815
41,Louisiana,February,15,8.364973e-05,301.1284
42,Louisiana,February,15,8.364973e-05,299.60495
43,Louisiana,February,15,8.364973e-05,288.19687
44,Louisiana,February,15,8.364973e-05,297.80838
45,Louisiana,February,15,8.364973e-05,285.49786
46,Louisiana,February,15,8.364973e-05,294.20676
47,Louisiana,February,15,8.364973e-05,299.3047
48,Louisiana,January,16,6.7730034e-05,292.1922
49,Louisiana,January,16,6.7730034e-05,303.7482
50,Louisiana,January,16,6.7730034e-05,281.5077
51,Louisiana,January,16,6.7730034e-05,286.38965
52,Louisiana,January,16,6.7730034e-05,286.00815
53,Louisiana,January,16,6.7730034e-05,301.1284
54,Louisiana,January,16,6.7730034e-05,299.60495
55,Louisiana,January,16,6.7730034e-05,288.19687
56,Louisiana,January,16,6.7730034e-05,297.80838
57,Louisiana,January,16,6.7730034e-05,285.49786
58,Louisiana,January,16,6.7730034e-05,294.20676
59,Louisiana,January,16,6.7730034e-05,299.3047
60,Louisiana,July,16,4.39005e-05,292.1922
61,Louisiana,July,16,4.39005e-05,303.7482
62,Louisiana,July,16,4.39005e-05,281.5077
