,name,month,pr,pr,pr
,,,sum,mean,max
122,Heilongjiang,December,35.222347,0.37470582,1.3004135
123,Heilongjiang,February,13.495047,0.14356433,0.5186949
124,Heilongjiang,January,20.43743,0.21741946,0.4092203
125,Heilongjiang,July,403.18707,4.289224,6.326426
126,Heilongjiang,June,355.49847,3.7818987,5.351939
127,Heilongjiang,March,66.42223,0.7066195,1.2067132
128,Heilongjiang,May,225.49597,2.3988934,3.6425602
129,Heilongjiang,November,108.94017,1.1589379,3.1205196
130,Heilongjiang,October,104.51759,1.1118892,2.055708
131,Heilongjiang,September,316.84454,3.3706865,4.7784348
132,Henan,April,79.915764,3.3298235,5.1241775
133,Henan,August,66.21092,2.7587883,5.0395727
134,Henan,December,19.18745,0.7994771,1.1304765
135,Henan,February,23.109266,0.9628861,1.9272546
136,Henan,January,16.094736,0.670614,1.1504738
137,Henan,July,90.810974,3.7837906,5.7379527
138,Henan,June,81.99419,3.4164245,4.135277
139,Henan,March,60.25843,2.510768,3.3890386
140,Henan,May,99.125725,4.1302385,5.689757
141,Henan,November,54.43893,2.2682889,2.7790358
142,Henan,October,57.246655,2.3852773,3.0094395
143,Henan,September,35.911663,1.4963193,4.9705744
144,Hubei,April,206.06601,7.3595004,9.886697
145,Hubei,August,59.36607,2.1202168,4.6291404
146,Hubei,December,23.185713,0.82806116,1.0481926
147,Hubei,February,68.16496,2.434463,2.978671
148,Hubei,January,41.343994,1.4765712,2.2311947
149,Hubei,July,144.82037,5.1721563,6.992815
150,Hubei,June,81.90956,2.9253414,4.5104527
151,Hubei,March,89.55124,3.1982586,4.006637
152,Hubei,May,124.3086,4.439593,6.8441133
153,Hubei,November,60.922928,2.175819,2.9360433
154,Hubei,October,48.65348,1.7376243,3.0041616
155,Hubei,September,180.88287,6.4601026,10.458541
156,Hunan,April,268.41766,8.388052,9.841258
157,Hunan,August,222.54999,6.954687,10.042609
158,Hunan,December,21.36759,0.6677372,0.9947929
159,Hunan,February,113.568375,3.5490117,4.4541926
160,Hunan,January,56.418694,1.7630842,2.3963473
161,Hunan,July,210.0398,6.5637436,9.983647
162,Hunan,June,204.76132,6.3987913,8.452022
163,Hunan,March,132.15372,4.1298037,5.1756754
164,Hunan,May,217.76778,6.805243,7.952118
165,Hunan,November,49.41459,1.5442059,2.8367116
166,Hunan,October,31.402018,0.98131305,1.9626608
167,Hunan,September,144.51659,4.5161433,6.9454174
168,Inner Mongol,April,285.10608,1.3707023,3.082743
169,Inner Mongol,August,581.4753,2.7955542,5.458925
170,Inner Mongol,December,13.2116375,0.06351749,0.47343248
171,Inner Mongol,February,11.389318,0.05475634,0.2923239
172,Inner Mongol,January,8.291913,0.039864965,0.29982305
173,Inner Mongol,July,488.68048,2.3494253,8.370865
174,Inner Mongol,June,453.95685,2.1824849,5.1926327
175,Inner Mongol,March,105.068665,0.5051378,1.1403955
176,Inner Mongol,May,212.55972,1.0219218,2.538956
177,Inner Mongol,November,49.55485,0.23824447,0.8116838
178,Inner Mongol,October,127.47625,0.6128666,1.486394
179,Inner Mongol,September,283.95404,1.3651637,3.384596
180,Jiangsu,April,69.84845,4.365528,7.0761805
181,Jiangsu,August,37.31534,2.3322086,2.7074094
182,Jiangsu,December,17.506134,1.0941334,1.3667537
183,Jiangsu,February,17.360752,1.085047,1.4240959
184,Jiangsu,January,19.672857,1.2295536,1.6419098
185,Jiangsu,July,110.24025,6.8900156,9.365571
186,Jiangsu,June,55.471817,3.4669886,6.0765257
187,Jiangsu,March,48.163033,3.0101895,3.9615984
188,Jiangsu,May,58.677982,3.667374,5.0525937
189,Jiangsu,November,21.520967,1.3450605,1.9220747
190,Jiangsu,October,13.532272,0.845767,1.7237277
191,Jiangsu,September,34.635685,2.1647303,5.8249426
192,Jiangxi,April,209.17412,8.045158,10.653027
193,Jiangxi,August,161.30473,6.204028,9.264197
194,Jiangxi,December,17.906408,0.688708,1.0269393
195,Jiangxi,February,79.26201,3.0485387,3.7599912
196,Jiangxi,January,39.106174,1.5040836,2.2382643
197,Jiangxi,July,199.24835,7.6633983,11.944185
198,Jiangxi,June,199.2362,7.662931,10.002942
199,Jiangxi,March,95.951675,3.690449,4.4128666
200,Jiangxi,May,180.01053,6.923482,7.7396836
201,Jiangxi,November,37.28316,1.4339677,2.0340476
202,Jiangxi,October,22.765955,0.87561363,1.149039
203,Jiangxi,September,80.07068,3.0796416,5.4670973
204,Jilin,April,74.987465,2.2055137,2.708301
205,Jilin,August,110.3026,3.244194,6.348268
206,Jilin,December,3.2796547,0.09646043,0.46906185
207,Jilin,February,6.207516,0.182574,0.55777186
208,Jilin,January,13.045202,0.38368243,1.0728849
209,Jilin,July,193.49077,5.690905,8.658571
210,Jilin,June,164.58308,4.840679,5.629808
211,Jilin,March,35.906452,1.0560721,1.5731431
212,Jilin,May,84.037605,2.4716942,3.2213662
213,Jilin,November,58.351383,1.7162172,3.0990026
214,Jilin,October,61.62999,1.8126467,3.309454
215,Jilin,September,112.40268,3.3059611,4.620285
216,Liaoning,April,50.9128,2.3142183,2.9716294
217,Liaoning,August,41.639572,1.8927078,3.102124
218,Liaoning,December,1.3072861,0.059422098,0.23315689
219,Liaoning,February,2.7960367,0.12709258,0.3752822
220,Liaoning,January,6.037157,0.27441624,0.8199664
221,Liaoning,July,161.86636,7.357562,10.498834
222,Liaoning,June,79.660965,3.6209528,5.317181
223,Liaoning,March,25.387672,1.1539851,1.7612541
224,Liaoning,May,32.01133,1.4550605,2.5030923
225,Liaoning,November,31.67731,1.4398777,3.4314952
226,Liaoning,October,32.621346,1.4827884,2.5301046
227,Liaoning,September,67.20027,3.0545578,4.0386367
228,Ningxia,April,7.2668185,1.2111365,1.3796747
229,Ningxia,August,25.112923,4.1854873,4.9731646
230,Ningxia,December,0.33659458,0.0560991,0.08907427
231,Ningxia,February,1.8511655,0.3085276,0.31547508
232,Ningxia,January,0.06448767,0.010747946,0.031280536
233,Ningxia,July,5.4153175,0.9025529,1.6433496
