name,month,day,tas_max
Louisiana,April,16,292.1922
Louisiana,August,16,303.7482
Louisiana,December,16,281.5077
Louisiana,February,15,286.38965
Louisiana,January,16,286.00815
Louisiana,July,16,301.1284
Louisiana,June,16,299.60495
Louisiana,March,16,288.19687
Louisiana,May,16,297.80838
Louisiana,November,16,285.49786
Louisiana,October,16,294.20676
Louisiana,September,16,299.3047
Pennsylvania,April,16,277.48218
Pennsylvania,August,16,292.7685
Pennsylvania,December,16,268.69302
Pennsylvania,February,15,270.05493
Pennsylvania,January,16,271.18994
Pennsylvania,July,16,293.5921
Pennsylvania,June,16,290.68988
Pennsylvania,March,16,274.77374
Pennsylvania,May,16,285.74872
Pennsylvania,November,16,273.84772
Pennsylvania,October,16,283.8344
Pennsylvania,September,16,288.5515
Texas,April,16,296.4227
Texas,August,16,306.6146
Texas,December,16,283.39145
Texas,February,15,288.23557
Texas,January,16,286.17365
Texas,July,16,304.40472
Texas,June,16,303.55463
Texas,March,16,292.53427
Texas,May,16,300.51904
Texas,November,16,288.2669
Texas,October,16,295.96204
Texas,September,16,302.4209
