,name,month,day,pr_max,tas_max
0,Louisiana,,,,291.8337
1,Louisiana,,,,302.8416
2,Louisiana,,,,284.93747
3,Louisiana,,,,284.3259
4,Louisiana,,,,283.4208
5,Louisiana,,,,304.71915
6,Louisiana,,,,298.70984
7,Louisiana,,,,290.42422
8,Louisiana,,,,295.6688
9,Louisiana,,,,289.6732
10,Louisiana,,,,291.7946
11,Louisiana,,,,298.68927
12,Pennsylvania,,,,279.9635
13,Pennsylvania,,,,294.57495
14,Pennsylvania,,,,270.60672
15,Pennsylvania,,,,270.182
16,Pennsylvania,,,,270.03864
17,Pennsylvania,,,,293.98
18,Pennsylvania,,,,290.6082
19,Pennsylvania,,,,276.15298
20,Pennsylvania,,,,284.95102
21,Pennsylvania,,,,279.09644
22,Pennsylvania,,,,282.11383
23,Pennsylvania,,,,289.34946
24,Punjab,April,16.0,2.6587995e-06,
25,Punjab,August,16.0,2.7201431e-05,
26,Punjab,December,16.0,1.030609e-05,
27,Punjab,February,15.0,2.8977156e-05,
28,Punjab,January,16.0,2.4979013e-06,
29,Punjab,July,16.0,2.4827283e-05,
30,Punjab,June,16.0,2.4429914e-09,
31,Punjab,March,16.0,4.075645e-05,
32,Punjab,May,16.0,1.8435648e-08,
33,Punjab,November,16.0,6.884231e-09,
34,Punjab,October,16.0,3.797793e-07,
35,Punjab,September,16.0,2.6021953e-05,
36,Texas,,,,295.4754
37,Texas,,,,304.8217
38,Texas,,,,288.5276
39,Texas,,,,285.66135
40,Texas,,,,284.60092
41,Texas,,,,307.27097
42,Texas,,,,301.96783
43,Texas,,,,291.88556
44,Texas,,,,299.9066
45,Texas,,,,294.13348
46,Texas,,,,293.97656
47,Texas,,,,302.66788
